name,location,description,price,rating,amenities,image_url
Hotel Le Marais,Paris,"Charming boutique hotel in the heart of Le Marais district. Walking distance to museums and cafes. Elegant rooms with modern amenities.",180,4.5,"WiFi|Breakfast|AC|Parking",https://images.unsplash.com/photo-1502602898657-3e917247a183?auto=format&fit=crop&w=800&q=80
Grand Hotel Paris,Paris,"Luxury 5-star hotel near the Eiffel Tower. Michelin-starred restaurant and rooftop bar. Spa and fitness center available.",350,4.8,"WiFi|Breakfast|AC|Spa|Gym|Pool|Parking",https://images.unsplash.com/photo-1554902843-260abc00e72f?auto=format&fit=crop&w=800&q=80
Budget Inn Montmartre,Paris,"Affordable accommodation near Sacré-Cœur. Clean rooms with basic amenities. Perfect for backpackers and budget travelers.",85,4.0,"WiFi|Breakfast",https://images.unsplash.com/photo-1499915291444-243e81b496ca?auto=format&fit=crop&w=800&q=80
Bali Beach Resort,Bali,"Beachfront resort with stunning ocean views. Private beach access and water sports. Traditional Balinese architecture.",220,4.7,"WiFi|Breakfast|AC|Pool|Beach Access|Spa",https://images.unsplash.com/photo-1571003123894-1f0594d2b5d9?auto=format&fit=crop&w=800&q=80
Ubud Jungle Villa,Bali,"Peaceful retreat surrounded by rice terraces. Yoga classes and organic restaurant. Infinity pool overlooking jungle.",175,4.6,"WiFi|Breakfast|AC|Pool|Yoga|Restaurant",https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=80
Kuta Surf Hostel,Bali,"Budget-friendly hostel steps from Kuta Beach. Surf lessons and board rentals. Social atmosphere for young travelers.",45,4.2,"WiFi|Surf Lessons|Beach Access",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?auto=format&fit=crop&w=800&q=80
Rome Colosseum Suites,Rome,"Modern apartments with Colosseum views. Self-catering kitchen and terrace. Central location near ancient ruins.",195,4.6,"WiFi|Kitchen|AC|Terrace",https://images.unsplash.com/photo-1552832230-c0197dd311b5?auto=format&fit=crop&w=800&q=80
Vatican Luxury Hotel,Rome,"5-star elegance near Vatican City. Art-filled interiors and fine dining. Concierge service for Vatican tours.",425,4.9,"WiFi|Breakfast|AC|Restaurant|Concierge|Spa",https://images.unsplash.com/photo-1531572753322-ad063cecc140?auto=format&fit=crop&w=800&q=80
Trastevere Guesthouse,Rome,"Cozy B&B in charming Trastevere neighborhood. Homemade breakfast and local tips. Family-run with personal touch.",120,4.4,"WiFi|Breakfast|AC",https://images.unsplash.com/photo-1555881400-74d7acaacd8b?auto=format&fit=crop&w=800&q=80
London Thames View,London,"Contemporary hotel on the Thames riverbank. Floor-to-ceiling windows with river views. Near Tower Bridge and attractions.",280,4.7,"WiFi|Breakfast|AC|River View|Gym",https://images.unsplash.com/photo-1512753360413-9bb7b3099d7d?auto=format&fit=crop&w=800&q=80
Shoreditch Design Hotel,London,"Hip boutique hotel in trendy Shoreditch. Street art decor and rooftop terrace. Close to markets and nightlife.",210,4.5,"WiFi|Breakfast|AC|Rooftop Bar",https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=800&q=80
Kings Cross Budget,London,"Simple accommodation near King's Cross station. Easy access to trains and city center. Clean rooms at great prices.",95,4.1,"WiFi|Breakfast",https://images.unsplash.com/photo-1518730518541-d0843268c287?auto=format&fit=crop&w=800&q=80
Tokyo Shibuya Hotel,Tokyo,"Modern high-rise in bustling Shibuya. Panoramic city views and Japanese-style rooms. Walking distance to shopping.",240,4.6,"WiFi|Breakfast|AC|City View",https://images.unsplash.com/photo-1503899036084-c55cdd92da26?auto=format&fit=crop&w=800&q=80
Kyoto Ryokan Experience,Tokyo,"Traditional Japanese inn with tatami rooms. Onsen baths and kaiseki meals. Cultural immersion in historic setting.",320,4.8,"WiFi|Breakfast|Dinner|Onsen|Traditional",https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?auto=format&fit=crop&w=800&q=80
Capsule Pod Akihabara,Tokyo,"Futuristic capsule hotel in electronics district. Compact sleeping pods with entertainment systems. Budget-friendly tech experience.",55,4.3,"WiFi|Locker|Entertainment",https://images.unsplash.com/photo-1544006659-f0b21f04cb1d?auto=format&fit=crop&w=800&q=80
